Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PC_ID,Summary,URL,Console_ID,Publisher_ID,Developer_ID,Genre_ID
gameboy-advance,Around the World in 80 Days,2004-07-05,Everyone,Disney,Unkown,Action & Adventure,677990104591,11429,Unkown,https://www.pricecharting.com/game/gameboy-advance/around-the-world-in-80-days,2,91,586,2
gameboy-advance,Arthur and the Invisibles,2007-01-09,Everyone,Atari,Unkown,Action & Adventure,742725273900,1984,Unkown,https://www.pricecharting.com/game/gameboy-advance/arthur-and-the-invisibles,2,36,586,2
gameboy-advance,Astro Boy Omega Factor,2004-08-18,Everyone,Sega,Treasure,Action & Adventure,010086600278,1986,Unkown,https://www.pricecharting.com/game/gameboy-advance/astro-boy-omega-factor,2,287,572,2
gameboy-advance,Atari Anniversary Advance,2002-03-25,Everyone,Atari,Unkown,Arcade,742725234949,1987,Unkown,https://www.pricecharting.com/game/gameboy-advance/atari-anniversary-advance,2,36,586,3
gameboy-advance,Atomic Betty,2005-10-25,Everyone,Namco,Unkown,Action & Adventure,722674500159,1988,Unkown,https://www.pricecharting.com/game/gameboy-advance/atomic-betty,2,232,586,2
gameboy-advance,ATV Quad Power Racing,2002-08-20,Everyone,Acclaim,Unkown,Racing,021481523024,1989,Unkown,https://www.pricecharting.com/game/gameboy-advance/atv-quad-power-racing,2,14,586,28
gameboy-advance,ATV Thunder Ridge Riders,2006-09-05,Everyone,Destination Software,Unkown,Racing,802068100926,8544,Unkown,https://www.pricecharting.com/game/gameboy-advance/atv-thunder-ridge-riders,2,89,586,28
gameboy-advance,Avatar The Burning Earth,2007-09-16,Everyone 10+,THQ,Halfbrick,Action & Adventure,785138322575,10246,Unkown,https://www.pricecharting.com/game/gameboy-advance/avatar-the-burning-earth,2,327,213,2
gameboy-advance,Avatar the Last Airbender,2006-10-10,Everyone,THQ,Halfbrick,Action & Adventure,785138322384,1990,Unkown,https://www.pricecharting.com/game/gameboy-advance/avatar-the-last-airbender,2,327,213,2
gameboy-advance,Babar: To the Rescue,2006-06-28,Everyone,American Game Factory,Unkown,Action & Adventure,855433001328,21673,Unkown,https://www.pricecharting.com/game/gameboy-advance/babar-to-the-rescue,2,23,586,2
gameboy-advance,Back to Stone,2006-12-01,Unkown,Unkown,Unkown,Action & Adventure,891563001067,35064,Unkown,https://www.pricecharting.com/game/gameboy-advance/back-to-stone,2,368,586,2
gameboy-advance,Back Track,2001-10-04,Teen,Telegames,Unkown,Action & Adventure,834815002016,1991,Unkown,https://www.pricecharting.com/game/gameboy-advance/back-track,2,342,586,2
gameboy-advance,Backyard Baseball,2002-05-30,Everyone,Atari,Unkown,Baseball,742725235014,1992,Unkown,https://www.pricecharting.com/game/gameboy-advance/backyard-baseball,2,36,586,4
gameboy-advance,Backyard Baseball 2006,2005-03-16,Everyone,Unkown,Unkown,Baseball,742725260856,1993,Unkown,https://www.pricecharting.com/game/gameboy-advance/backyard-baseball-2006,2,368,586,4
gameboy-advance,Backyard Baseball 2007,2006-06-01,Everyone,Atari,Unkown,Baseball,742725273641,11602,Unkown,https://www.pricecharting.com/game/gameboy-advance/backyard-baseball-2007,2,36,586,4
gameboy-advance,Backyard Basketball,2004-09-22,Everyone,Atari,Unkown,Basketball,742725235441,1994,Unkown,https://www.pricecharting.com/game/gameboy-advance/backyard-basketball,2,36,586,5
gameboy-advance,Backyard Basketball 2007,2006-09-01,Everyone,Humongous,Unkown,Basketball,742725273689,11604,Unkown,https://www.pricecharting.com/game/gameboy-advance/backyard-basketball-2007,2,152,586,5
gameboy-advance,Backyard Football,2002-09-25,Everyone,Atari,Unkown,Football,742725235434,1995,Unkown,https://www.pricecharting.com/game/gameboy-advance/backyard-football,2,36,586,15
gameboy-advance,Backyard Football 2006,2005-10-18,Everyone,Unkown,Unkown,Football,742725265332,11587,Unkown,https://www.pricecharting.com/game/gameboy-advance/backyard-football-2006,2,368,586,15
gameboy-advance,Backyard Football 2007,2006-09-01,Everyone,Humongous,Unkown,Football,742725273726,11606,Unkown,https://www.pricecharting.com/game/gameboy-advance/backyard-football-2007,2,152,586,15
gameboy-advance,Backyard Hockey,2003-10-09,Everyone,Atari,Unkown,Sports,742725248052,1996,Unkown,https://www.pricecharting.com/game/gameboy-advance/backyard-hockey,2,36,586,32
gameboy-advance,Backyard Skateboarding,2004-10-04,Everyone,Atari,Unkown,Extreme Sports,742725265363,11588,Unkown,https://www.pricecharting.com/game/gameboy-advance/backyard-skateboarding,2,36,586,12
gameboy-advance,Baldur's Gate Dark Alliance,2004-02-10,Teen,Black Isle Studios,Magic Pockets,RPG,802068100186,1997,Unkown,https://www.pricecharting.com/game/gameboy-advance/baldur's-gate-dark-alliance,2,49,305,27
gameboy-advance,Ballistic Ecks vs Sever,2002-09-14,Teen,BAM,Unkown,Action & Adventure,682384320211,11434,Unkown,https://www.pricecharting.com/game/gameboy-advance/ballistic-ecks-vs-sever,2,40,586,2
gameboy-advance,Balloon Fight E-Reader,2002-09-01,Everyone,Unkown,Unkown,Other,045496732073,14647,Unkown,https://www.pricecharting.com/game/gameboy-advance/balloon-fight-e-reader,2,368,586,22
gameboy-advance,Banjo Kazooie Grunty's Revenge,2003-09-12,Everyone,THQ,Rare,Platformer,785138321530,1998,"Gruntilda is back and only Banjo and Kazooie can stop her master plan! Travel through time encountering puzzles, battles, and meeting friends old and new in this all-new Banjo-Kazooie adventure!",https://www.pricecharting.com/game/gameboy-advance/banjo-kazooie-grunty's-revenge,2,327,430,25
gameboy-advance,Banjo Pilot,2005-01-12,Everyone,Unkown,Unkown,Action & Adventure,785138321554,1999,Unkown,https://www.pricecharting.com/game/gameboy-advance/banjo-pilot,2,368,586,2
gameboy-advance,Barbie and the Magic of Pegasus,2005-09-06,Everyone,Vivendi Universal,Unkown,Action & Adventure,020626723671,2000,Unkown,https://www.pricecharting.com/game/gameboy-advance/barbie-and-the-magic-of-pegasus,2,383,586,2
gameboy-advance,Barbie as the Island Princess,2007-10-30,Everyone,Activision,Unkown,Action & Adventure,047875753990,10247,Unkown,https://www.pricecharting.com/game/gameboy-advance/barbie-as-the-island-princess,2,19,586,2
gameboy-advance,Barbie Diaries High School Mystery,2006-10-30,Everyone,Activision,Unkown,Action & Adventure,047875753150,11215,Unkown,https://www.pricecharting.com/game/gameboy-advance/barbie-diaries-high-school-mystery,2,19,586,2
gameboy-advance,Barbie Groovy Games,2002-09-01,Everyone,Barbie Software,Unkown,Arcade,020626717045,2001,Unkown,https://www.pricecharting.com/game/gameboy-advance/barbie-groovy-games,2,46,586,3
gameboy-advance,Barbie Horse Adventures Blue Ribbon Race,2003-09-01,Everyone,Vivendi Universal,Unkown,Racing,020626720533,2002,Unkown,https://www.pricecharting.com/game/gameboy-advance/barbie-horse-adventures-blue-ribbon-race,2,383,586,28
gameboy-advance,Barbie in The 12 Dancing Princesses,2006-10-30,Everyone,Activision,Unkown,Action & Adventure,047875753136,8555,Unkown,https://www.pricecharting.com/game/gameboy-advance/barbie-in-the-12-dancing-princesses,2,19,586,2
gameboy-advance,Barbie Princess and the Pauper,2004-09-12,Everyone,Universal Interactive,Unkown,Action & Adventure,020626721950,2003,Unkown,https://www.pricecharting.com/game/gameboy-advance/barbie-princess-and-the-pauper,2,366,586,2
gameboy-advance,Barbie Secret Agent Barbie,2002-10-08,Everyone,Vivendi Universal,Unkown,Action & Adventure,020626717533,8556,Unkown,https://www.pricecharting.com/game/gameboy-advance/barbie-secret-agent-barbie,2,383,586,2
gameboy-advance,Barbie Superpack,2005-09-01,Everyone,Unkown,Unkown,Action & Adventure,020626724111,2004,Unkown,https://www.pricecharting.com/game/gameboy-advance/barbie-superpack,2,368,586,2
gameboy-advance,Barnyard,2006-08-01,Everyone,Unkown,Unkown,Action & Adventure,785138321844,2005,Unkown,https://www.pricecharting.com/game/gameboy-advance/barnyard,2,368,586,2
gameboy-advance,Baseball Advance,2002-03-20,Everyone,Jack of All Games,Unkown,Baseball,785138321011,11639,Unkown,https://www.pricecharting.com/game/gameboy-advance/baseball-advance,2,169,586,4
gameboy-advance,Baseball E-Reader,2002-01-01,Unkown,Unkown,Unkown,Other,045496732257,35842,Unkown,https://www.pricecharting.com/game/gameboy-advance/baseball-e-reader,2,368,586,22
gameboy-advance,Batman Begins,2005-06-14,Everyone 10+,Unkown,Unkown,Action & Adventure,014633149098,2006,Unkown,https://www.pricecharting.com/game/gameboy-advance/batman-begins,2,368,586,2
gameboy-advance,Batman Rise of Sin Tzu,2003-10-27,Everyone,Ubisoft,Unkown,Action & Adventure,008888141495,2007,Unkown,https://www.pricecharting.com/game/gameboy-advance/batman-rise-of-sin-tzu,2,362,586,2
gameboy-advance,Batman Vengeance,2001-10-30,Everyone,Ubisoft,Unkown,Action & Adventure,008888140030,2008,Unkown,https://www.pricecharting.com/game/gameboy-advance/batman-vengeance,2,362,586,2
gameboy-advance,Battle B-Daman,2006-07-26,Everyone,Atlus,Takara,Action & Adventure,730865850174,8578,Unkown,https://www.pricecharting.com/game/gameboy-advance/battle-b-daman,2,39,538,2
gameboy-advance,Battle B-Daman: Fire Spirits,2006-09-26,Everyone 10+,Atlus,Takara,Action & Adventure,730865850228,8579,Unkown,https://www.pricecharting.com/game/gameboy-advance/battle-b-daman-fire-spirits,2,39,538,2
gameboy-advance,Battle for Bikini Bottom & Freeze Frame Frenzy Double Pack,NULL,Everyone 10+,THQ,Unkown,Action & Adventure,785138322032,30778,"2 Games in 1 Double Pack - SpongeBob SquarePants: Battle for Bikini Bottom & Nicktoons: Freeze Frame Frenzy is a Miscellaneous game, developed by Vicarious Visions and published by THQ, which was released in 2004.",https://www.pricecharting.com/game/gameboy-advance/battle-for-bikini-bottom-&-freeze-frame-frenzy-double-pack,2,327,586,2
gameboy-advance,Battlebots Beyond the Battlebox,2002-12-10,Everyone,Majesco,Unkown,Action & Adventure,096427012740,2009,Unkown,https://www.pricecharting.com/game/gameboy-advance/battlebots-beyond-the-battlebox,2,194,586,2
gameboy-advance,Battlebots Design and Destroy,2003-08-31,Everyone,Majesco,Unkown,Action & Adventure,096427013204,2010,Unkown,https://www.pricecharting.com/game/gameboy-advance/battlebots-design-and-destroy,2,194,586,2
gameboy-advance,Bee Game,2007-11-05,Everyone,Unkown,Unkown,Action & Adventure,031719191925,11150,Unkown,https://www.pricecharting.com/game/gameboy-advance/bee-game,2,368,586,2
gameboy-advance,Berenstain Bears and the Spooky Old Tree,2005-09-20,Everyone,Namco,Unkown,Action & Adventure,722674500142,10584,Unkown,https://www.pricecharting.com/game/gameboy-advance/berenstain-bears-and-the-spooky-old-tree,2,232,586,2
gameboy-advance,Beyblade Grevolution,2004-11-01,Everyone,Atari,Unkown,Action & Adventure,742725256897,11973,Unkown,https://www.pricecharting.com/game/gameboy-advance/beyblade-grevolution,2,36,586,2
gameboy-advance,Beyblade V Force,2003-11-01,Everyone,Atari SA,Full Fat,Action & Adventure,742725248489,2012,"A sinister group is stealing Bit Beasts from the World Champion Bladebreakers and you must help defend against this mysterious force, using skill, balance, and endurance. Play as any Bladebreakers--including Tyson and Kai, and call upon your best strategies and mightiest Bit Beasts. Unlock more than 100 Beyblade collectibles as you fight through 50 Vforce challenges. It's a battle with the best Bladebreakers in the world, so make sure you've got the fighting spirit.",https://www.pricecharting.com/game/gameboy-advance/beyblade-v-force,2,37,184,2
gameboy-advance,Big Mutha Truckers,2005-11-09,Everyone 10+,Destination,Unkown,Racing,802068100346,2014,Unkown,https://www.pricecharting.com/game/gameboy-advance/big-mutha-truckers,2,88,586,28
gameboy-advance,Bionicle Heroes,2006-11-14,Everyone,Square Enix,Unkown,Action & Adventure,788687400275,2015,Unkown,https://www.pricecharting.com/game/gameboy-advance/bionicle-heroes,2,312,586,2
gameboy-advance,Bionicle Matoran Adventures,2002-10-29,Everyone,Electronic Arts,Unkown,Action & Adventure,014633145540,8611,Unkown,https://www.pricecharting.com/game/gameboy-advance/bionicle-matoran-adventures,2,100,586,2
gameboy-advance,Bionicle Maze of Shadows,2005-09-18,Everyone,THQ,Unkown,Action & Adventure,785138321820,11647,Unkown,https://www.pricecharting.com/game/gameboy-advance/bionicle-maze-of-shadows,2,327,586,2
gameboy-advance,Bionicle The Game,2003-09-10,Everyone,THQ,Unkown,Action & Adventure,785138321516,2016,Unkown,https://www.pricecharting.com/game/gameboy-advance/bionicle-the-game,2,327,586,2
gameboy-advance,Blackthorne,2003-09-17,Teen,Blizzard,Unkown,Action & Adventure,020626719018,11093,Unkown,https://www.pricecharting.com/game/gameboy-advance/blackthorne,2,52,586,2
gameboy-advance,Blades of Thunder,2005-02-01,Teen,Summit,Unkown,Action & Adventure,831666900249,2020,Unkown,https://www.pricecharting.com/game/gameboy-advance/blades-of-thunder,2,321,586,2
gameboy-advance,Blender Bros,2002-04-15,Everyone,Infogrames,Unkown,Action & Adventure,742725235229,11568,Unkown,https://www.pricecharting.com/game/gameboy-advance/blender-bros,2,160,586,2
gameboy-advance,BMX Trick Racer,2003-12-31,Everyone,Simon & Schuster,Unkown,Extreme Sports,076714522947,2021,Unkown,https://www.pricecharting.com/game/gameboy-advance/bmx-trick-racer,2,298,586,12
gameboy-advance,Board Game Classics,2005-11-03,Everyone,Destination Software,Unkown,Party,802068100520,2022,Unkown,https://www.pricecharting.com/game/gameboy-advance/board-game-classics,2,89,586,23
gameboy-advance,Boktai 2 Solar Boy Django,2004-10-19,Teen,Konami,Unkown,RPG,083717500476,2023,Unkown,https://www.pricecharting.com/game/gameboy-advance/boktai-2-solar-boy-django,2,178,586,27
gameboy-advance,Boktai The Sun in Your Hands,2003-09-01,Everyone,Konami,Unkown,RPG,083717500407,2024,Unkown,https://www.pricecharting.com/game/gameboy-advance/boktai-the-sun-in-your-hands,2,178,586,27
gameboy-advance,Bomberman Max 2 Blue,2002-06-01,Everyone,Majesco,Unkown,Puzzle,096427012733,2025,Unkown,https://www.pricecharting.com/game/gameboy-advance/bomberman-max-2-blue,2,194,586,26
gameboy-advance,Bomberman Max 2 Red,2002-06-01,Everyone,Majesco,Unkown,Puzzle,096427012726,2026,Unkown,https://www.pricecharting.com/game/gameboy-advance/bomberman-max-2-red,2,194,586,26
gameboy-advance,Bomberman Tournament,2001-06-01,Everyone,Activision,Unkown,Action & Adventure,047875802490,2028,Unkown,https://www.pricecharting.com/game/gameboy-advance/bomberman-tournament,2,19,586,2
gameboy-advance,Bookworm,2004-06-01,Everyone,Majesco,Unkown,Puzzle,096427013280,2030,Unkown,https://www.pricecharting.com/game/gameboy-advance/bookworm,2,194,586,26
gameboy-advance,Boulder Dash EX,2002-09-16,Everyone,Kemco,Vision Works,Action & Adventure,741648008019,2031,Unkown,https://www.pricecharting.com/game/gameboy-advance/boulder-dash-ex,2,175,598,2
gameboy-advance,Boxing Fever,2001-10-11,Everyone,Majesco,Unkown,Sports,096427012610,2032,Unkown,https://www.pricecharting.com/game/gameboy-advance/boxing-fever,2,194,586,32
gameboy-advance,Bratz,2003-03-12,Everyone,Nintendo,Unkown,Action & Adventure,008888140337,2033,Unkown,https://www.pricecharting.com/game/gameboy-advance/bratz,2,241,586,2
gameboy-advance,Bratz Babyz,2006-01-01,Everyone,THQ,Unkown,Action & Adventure,785138322421,21120,Unkown,https://www.pricecharting.com/game/gameboy-advance/bratz-babyz,2,327,586,2
gameboy-advance,Bratz Forever Diamondz,2006-09-18,Everyone,THQ,Unkown,Action & Adventure,785138322414,11657,Unkown,https://www.pricecharting.com/game/gameboy-advance/bratz-forever-diamondz,2,327,586,2
gameboy-advance,Bratz Rock Angelz,2005-10-01,Everyone,THQ,Altron,Action & Adventure,785138321899,2034,"You get the chance to live the life of a Rock Angel as you help Cloe, Jade, Sasha and Yasmin start their own fashion magazine. The search for the perfect scoop will take you around the globe, where famous places and famous people make for amazing adventures. Shop for the latest fashions! Explore Bratz town and Bratz City! Start your very own fashion magazine!",https://www.pricecharting.com/game/gameboy-advance/bratz-rock-angelz,2,327,35,2
gameboy-advance,Bratz: The Movie,2007-09-24,Everyone,THQ,Unkown,Action & Adventure,785138322551,10248,Unkown,https://www.pricecharting.com/game/gameboy-advance/bratz-the-movie,2,327,586,2
gameboy-advance,Breath of Fire,2001-12-13,Everyone,Capcom,Unkown,RPG,013388280049,2035,Unkown,https://www.pricecharting.com/game/gameboy-advance/breath-of-fire,2,68,586,27
gameboy-advance,Breath of Fire II,2002-04-16,Everyone,Capcom,Unkown,RPG,013388280087,2036,Unkown,https://www.pricecharting.com/game/gameboy-advance/breath-of-fire-ii,2,68,586,27
gameboy-advance,Britney's Dance Beat,2002-03-25,Everyone,THQ,Unkown,Music,785138320977,11638,Unkown,https://www.pricecharting.com/game/gameboy-advance/britney's-dance-beat,2,327,586,21
gameboy-advance,Broken Sword The Shadow of the Templars,2002-03-17,Teen,BAM,Unkown,Action & Adventure,682384320105,2038,Unkown,https://www.pricecharting.com/game/gameboy-advance/broken-sword-the-shadow-of-the-templars,2,40,586,2
gameboy-advance,Brother Bear,2003-11-04,Everyone,Disney,Unkown,Action & Adventure,712725001438,2039,Unkown,https://www.pricecharting.com/game/gameboy-advance/brother-bear,2,91,586,2
gameboy-advance,Bruce Lee,2003-05-01,Everyone,Vivendi Universal Games,Unkown,Action & Adventure,020626717014,2040,Unkown,https://www.pricecharting.com/game/gameboy-advance/bruce-lee,2,384,586,2
gameboy-advance,Bubble Bobble Old and New,2004-09-01,Everyone,Unkown,Unkown,Action & Adventure,802068100278,11710,Unkown,https://www.pricecharting.com/game/gameboy-advance/bubble-bobble-old-and-new,2,368,586,2
